Plot_ID,Soil_Type,Rainfall_mm,Irrigation_liters_ha,Fertilizer_kg_ha,Temperature_C,Water_Usage_liters_ha,Yield_tons_ha
P630,Sandy,735,1212,307,32,1947,62
P631,Loamy,567,1853,251,32,2420,65
P632,Sandy,491,907,224,25,1398,43
P633,Clayey,752,2190,248,33,2942,81
P634,Sandy,970,2104,221,30,3074,75
P635,Sandy,970,1951,152,33,2921,78
P636,Loamy,1080,2052,291,27,3132,84
P637,Loamy,762,1934,337,27,2696,87
P638,Loamy,956,935,322,30,1891,57
P639,Sandy,744,1161,183,33,1905,50
P640,Clayey,1092,2009,194,31,3101,81
P641,Loamy,569,928,210,27,1497,46
P642,Loamy,755,2084,232,27,2839,78
P643,Sandy,590,1314,272,26,1904,52
P644,Loamy,1066,1248,251,33,2314,66
P645,Clayey,821,1927,165,27,2748,72
P646,Clayey,1099,2047,215,29,3146,81
P647,Loamy,406,1673,317,33,2079,61
P648,Loamy,532,1272,294,32,1804,47
P649,Sandy,956,1833,268,26,2789,78
P650,Clayey,430,1101,311,27,1531,47
P651,Clayey,934,1030,273,26,1964,61
P652,Loamy,825,1722,293,32,2547,79
P653,Sandy,793,1889,251,30,2682,80
P654,Clayey,1071,1736,337,30,2807,89
P655,Clayey,762,911,215,33,1673,47
P656,Sandy,836,1836,343,32,2672,81
P657,Sandy,1069,1299,162,28,2368,66
P658,Clayey,950,1731,333,28,2681,79
P659,Clayey,481,1397,260,33,1878,52
P660,Sandy,755,1033,308,25,1788,69
P661,Clayey,657,1401,183,26,2058,64
P662,Loamy,988,1113,188,26,2101,66
P663,Loamy,923,1365,344,30,2288,70
P664,Sandy,694,1835,285,28,2529,71
P665,Sandy,623,1008,269,34,1631,51
P666,Sandy,924,1837,275,27,2761,76
P667,Loamy,445,1843,204,27,2288,65
P668,Clayey,1066,1386,176,27,2452,64
P669,Loamy,512,1814,267,30,2326,65
P670,Clayey,632,1893,202,32,2525,53
P671,Loamy,416,2034,188,31,2450,58
P672,Clayey,759,1924,214,28,2683,82
P673,Loamy,622,1497,294,28,2119,68
P674,Sandy,1099,931,307,34,2030,71
P675,Loamy,847,1955,330,26,2802,78
P676,Clayey,764,1843,162,25,2607,69
P677,Loamy,1074,1335,170,33,2409,71
P678,Loamy,725,1813,296,26,2538,76
P679,Loamy,866,1026,202,32,1892,57
P680,Sandy,813,1977,168,33,2790,77
P681,Loamy,854,1621,206,28,2475,63
P682,Sandy,985,1670,174,32,2655,68
P683,Sandy,632,1204,180,33,1836,40
P684,Loamy,623,1001,230,34,1624,41
P685,Loamy,811,837,332,34,1648,60
P686,Loamy,971,1741,172,29,2712,67
P687,Clayey,734,987,181,31,1721,52
P688,Loamy,621,1880,339,34,2501,78
P689,Sandy,436,1740,223,28,2176,58
P690,Loamy,677,1843,159,25,2520,69
P691,Clayey,595,1072,349,27,1667,60
P692,Loamy,883,1942,203,29,2825,68
P693,Clayey,641,1382,201,27,2023,54
P694,Clayey,723,1315,297,31,2038,56
P695,Loamy,591,2044,309,33,2635,68
P696,Sandy,416,1325,263,30,1741,54
P697,Clayey,923,1135,163,34,2058,52
P698,Loamy,800,1497,327,25,2297,71
P699,Loamy,421,1878,305,31,2299,58
P700,Sandy,873,1299,259,27,2172,71
P701,Clayey,519,1699,202,29,2218,56
P702,Clayey,609,1565,301,34,2174,69
P703,Loamy,705,1335,228,28,2040,59
P704,Loamy,669,961,171,34,1630,37
P705,Sandy,1086,1393,179,29,2479,68
P706,Sandy,684,958,340,29,1642,50
P707,Clayey,1075,2011,153,30,3086,82
P708,Clayey,626,859,208,34,1485,42
P709,Loamy,780,1714,157,34,2494,63
P710,Clayey,859,2142,161,30,3001,73
P711,Sandy,406,1010,268,32,1416,41
P712,Sandy,428,1205,308,32,1633,45
P713,Loamy,432,1463,183,33,1895,53
P714,Sandy,1045,1932,231,32,2977,78
P715,Sandy,478,1899,247,26,2377,64
P716,Sandy,858,1341,276,34,2199,62
P717,Sandy,969,2137,224,25,3106,81
P718,Loamy,937,1797,254,34,2734,72
P719,Loamy,881,1940,198,26,2821,77
P720,Clayey,829,1726,228,26,2555,66
P721,Sandy,684,1667,334,27,2351,66
P722,Clayey,915,818,242,34,1733,59
P723,Loamy,498,1231,303,31,1729,51
P724,Loamy,796,1539,167,26,2335,61
P725,Loamy,888,2173,245,25,3061,77
P726,Loamy,438,982,187,30,1420,45
P727,Loamy,670,912,236,33,1582,42
P728,Loamy,556,2006,237,27,2562,69
P729,Loamy,474,1280,199,30,1754,40
P730,Sandy,529,1969,157,27,2498,67
P731,Clayey,1086,1630,318,25,2716,88
P732,Loamy,483,1936,283,29,2419,69
P733,Sandy,421,1562,218,34,1983,44
P734,Sandy,858,1275,321,28,2133,71
P735,Clayey,938,1562,270,31,2500,67
P736,Loamy,781,2126,213,30,2907,69
P737,Clayey,839,1770,306,34,2609,70
P738,Loamy,1003,1819,305,31,2822,78
P739,Sandy,420,1941,288,29,2361,62
P740,Sandy,702,960,270,28,1662,60
P741,Sandy,483,1200,214,31,1683,57
P742,Sandy,1058,997,256,31,2055,56
P743,Clayey,852,2083,296,30,2935,77
P744,Loamy,786,1459,286,32,2245,65
P745,Loamy,906,1870,304,28,2776,77
P746,Clayey,656,1198,311,34,1854,58
P747,Loamy,969,877,321,29,1846,66
P748,Sandy,926,923,345,28,1849,67
P749,Loamy,561,874,249,25,1435,51
P750,Sandy,562,936,231,32,1498,53
P751,Clayey,923,1401,292,25,2324,63
P752,Loamy,670,1636,200,29,2306,69
P753,Clayey,891,1299,290,30,2190,64
P754,Loamy,607,937,232,30,1544,51
P755,Sandy,938,849,326,29,1787,55
P756,Clayey,983,1772,347,27,2755,78
P757,Loamy,459,1053,261,29,1512,50
P758,Sandy,829,1509,205,32,2338,53
P759,Clayey,1056,1362,328,26,2418,81
P760,Clayey,1004,1556,314,30,2560,82
P761,Loamy,708,1346,294,33,2054,61
P762,Loamy,919,2125,335,32,3044,85
P763,Loamy,990,1721,306,32,2711,73
P764,Sandy,426,1380,310,32,1806,57
P765,Loamy,1085,2172,209,31,3257,86
P766,Clayey,961,848,269,32,1809,52
P767,Clayey,598,1716,332,30,2314,65
P768,Loamy,786,1897,287,26,2683,76
P769,Loamy,748,1503,324,26,2251,67
P770,Clayey,1092,1060,172,32,2152,53
P771,Sandy,935,1155,298,25,2090,71
P772,Loamy,777,2083,162,30,2860,70
P773,Loamy,957,1437,250,30,2394,69
P774,Clayey,926,1542,310,28,2468,71
P775,Loamy,552,2118,173,34,2670,66
P776,Sandy,605,1809,257,27,2414,68
P777,Clayey,854,1730,160,27,2584,74
P778,Loamy,672,1440,166,25,2112,61
P779,Clayey,635,1591,345,27,2226,67
P780,Loamy,920,2136,324,28,3056,82
P781,Loamy,1077,1411,174,29,2488,73
P782,Loamy,900,1608,243,27,2508,70
P783,Sandy,516,2005,170,30,2521,62
P784,Sandy,785,1485,233,29,2270,63
P785,Clayey,743,2187,289,27,2930,78
P786,Loamy,983,987,186,30,1970,56
P787,Loamy,794,1784,191,30,2578,77
P788,Sandy,463,1347,294,32,1810,48
P789,Loamy,471,1524,250,26,1995,54
P790,Sandy,673,1725,197,25,2398,72
P791,Loamy,719,1675,252,28,2394,65
P792,Clayey,737,1417,177,31,2154,55
P793,Loamy,765,1213,190,34,1978,58
P794,Loamy,894,2165,248,27,3059,75
P795,Sandy,1006,2043,196,27,3049,85
P796,Loamy,565,1702,295,29,2267,65
P797,Loamy,943,962,254,29,1905,62
P798,Sandy,410,2043,273,34,2453,66
P799,Clayey,700,1069,348,27,1769,57
P800,Clayey,501,1431,162,33,1932,54
P801,Sandy,824,1705,290,28,2529,70
P802,Sandy,791,2005,249,27,2796,78
P803,Sandy,613,1004,180,26,1617,54
P804,Sandy,1090,1381,279,34,2471,78
P805,Sandy,487,1640,165,33,2127,51
P806,Clayey,952,2051,286,28,3003,86
P807,Clayey,800,1395,222,27,2195,61
P808,Sandy,987,1049,315,31,2036,77
P809,Loamy,445,1674,203,32,2119,58
P810,Sandy,1071,995,333,26,2066,70
P811,Loamy,862,1489,249,31,2351,68
P812,Sandy,991,1893,258,29,2884,82
P813,Sandy,709,1438,236,29,2147,63
P814,Clayey,485,1471,322,27,1956,59
P815,Loamy,491,2026,311,29,2517,68
P816,Loamy,1059,1971,286,26,3030,85
P817,Clayey,1072,1743,157,28,2815,69
P818,Clayey,641,998,156,30,1639,49
P819,Clayey,401,1291,185,25,1692,44
P820,Clayey,624,1695,167,34,2319,52
P821,Loamy,988,941,152,28,1929,55
P822,Loamy,515,2136,177,30,2651,65
P823,Sandy,1065,964,219,33,2029,60
P824,Sandy,502,1113,321,26,1615,51
P825,Clayey,593,820,298,31,1413,45
P826,Clayey,565,1905,177,30,2470,66
P827,Clayey,489,1954,203,26,2443,68
P828,Sandy,1085,1783,331,32,2868,85
P829,Sandy,521,1104,214,31,1625,47
P830,Sandy,542,1170,249,29,1712,52
P831,Sandy,505,1652,170,29,2157,57
P832,Sandy,827,1183,162,31,2010,51
P833,Sandy,704,1244,206,33,1948,61
P834,Sandy,716,1224,198,33,1940,60
P835,Clayey,1034,960,267,33,1994,65
P836,Clayey,408,2001,203,30,2409,59
P837,Clayey,472,1428,287,34,1900,56
P838,Clayey,758,1694,202,30,2452,70
P839,Sandy,622,1289,193,27,1911,48
P840,Loamy,815,1816,196,25,2631,80
P841,Sandy,952,1126,202,31,2078,50
P842,Loamy,769,1397,223,28,2166,65
P843,Clayey,663,1814,195,25,2477,74
P844,Sandy,1089,1088,162,32,2177,59
P845,Clayey,717,1392,314,30,2109,63
P846,Sandy,483,1372,251,30,1855,56
P847,Clayey,717,2177,173,26,2894,83
P848,Loamy,510,827,151,25,1337,39
P849,Loamy,650,1753,230,26,2403,63
P850,Loamy,782,842,249,28,1624,50
P851,Sandy,406,1222,291,26,1628,44
P852,Loamy,858,976,287,25,1834,65
P853,Sandy,483,1328,312,31,1811,52
P854,Loamy,607,1765,302,32,2372,65
P855,Loamy,789,997,280,30,1786,61
P856,Sandy,713,1409,260,28,2122,60
P857,Sandy,421,1641,251,30,2062,60
P858,Loamy,809,1652,166,27,2461,60
P859,Sandy,914,821,161,32,1735,54
P860,Loamy,526,1935,331,34,2461,69
P861,Sandy,1099,1880,265,26,2979,84
P862,Clayey,413,1889,173,29,2302,58
P863,Clayey,411,1641,178,25,2052,49
P864,Clayey,486,897,320,30,1383,48
P865,Clayey,923,1967,302,26,2890,82
P866,Clayey,936,1234,271,28,2170,60
P867,Loamy,700,1436,337,30,2136,62
P868,Clayey,642,1909,239,34,2551,65
P869,Clayey,521,1387,214,32,1908,49
P870,Clayey,546,1143,233,32,1689,36
P871,Clayey,966,2117,268,30,3083,89
P872,Sandy,755,1370,305,28,2125,64
P873,Loamy,1084,1410,165,32,2494,55
P874,Clayey,1030,1042,324,32,2072,76
P875,Clayey,708,1360,253,34,2068,64
P876,Clayey,1094,1759,241,25,2853,79
P877,Loamy,687,831,335,28,1518,49
P878,Sandy,706,1190,176,28,1896,55
P879,Loamy,993,1076,330,31,2069,67
P880,Sandy,1061,1331,319,31,2392,75
P881,Clayey,948,1977,336,32,2925,78
P882,Clayey,751,1182,324,29,1933,67
P883,Loamy,711,1891,311,31,2602,70
P884,Loamy,458,1683,314,32,2141,64
P885,Sandy,1042,1013,283,33,2055,59
P886,Sandy,434,1175,284,27,1609,64
P887,Loamy,844,1543,302,27,2387,75
P888,Sandy,492,1012,182,28,1504,58
P889,Loamy,606,878,204,29,1484,49
P890,Sandy,752,1427,335,34,2179,62
P891,Loamy,731,1403,156,25,2134,63
P892,Loamy,558,1581,206,31,2139,61
P893,Loamy,423,1800,275,33,2223,61
P894,Sandy,803,1479,161,32,2282,62
P895,Sandy,915,857,165,29,1772,56
P896,Sandy,763,1849,192,28,2612,64
P897,Loamy,781,1680,266,31,2461,63
P898,Sandy,931,1246,284,29,2177,62
P899,Sandy,551,865,260,31,1416,45
P900,Loamy,961,2077,200,25,3038,80
P901,Clayey,1088,1867,309,25,2955,82
P902,Loamy,1007,1920,224,34,2927,80
P903,Sandy,1016,1811,157,27,2827,76
P904,Loamy,819,1026,349,26,1845,64
P905,Clayey,649,1573,194,26,2222,60
P906,Loamy,516,1478,208,31,1994,52
P907,Sandy,911,1400,281,34,2311,62
P908,Clayey,977,1178,253,26,2155,71
P909,Sandy,734,2001,344,28,2735,75
P910,Clayey,817,1508,306,26,2325,72
P911,Clayey,694,1106,306,30,1800,65
P912,Loamy,770,1578,247,32,2348,63
P913,Loamy,585,1303,305,34,1888,60
P914,Sandy,645,1067,228,28,1712,54
P915,Loamy,1036,807,273,29,1843,61
P916,Loamy,667,1307,321,28,1974,64
P917,Clayey,1042,1275,153,27,2317,64
P918,Loamy,636,2120,239,29,2756,73
P919,Clayey,929,963,253,33,1892,54
P920,Clayey,951,1284,286,32,2235,66
P921,Clayey,420,1895,268,32,2315,58
P922,Sandy,919,1366,282,32,2285,72
P923,Sandy,499,1704,205,32,2203,48
P924,Sandy,877,1358,245,31,2235,66
P925,Clayey,998,1037,327,32,2035,66
P926,Sandy,697,1927,224,32,2624,69
P927,Sandy,925,2033,292,32,2958,86
P928,Loamy,733,1353,181,34,2086,53
P929,Sandy,401,1627,177,31,2028,53
P930,Sandy,774,1267,171,25,2041,50
P931,Clayey,692,2091,166,28,2783,68
P932,Clayey,952,1185,208,28,2137,66
P933,Clayey,717,1574,239,29,2291,57
P934,Clayey,901,1647,348,34,2548,75
P935,Clayey,780,1186,255,30,1966,55
P936,Clayey,1022,1676,334,28,2698,80
P937,Sandy,413,1058,175,26,1471,40
P938,Clayey,903,1082,174,30,1985,50
P939,Clayey,630,839,287,32,1469,49
P940,Loamy,483,1285,194,32,1768,47
P941,Sandy,529,1728,232,31,2257,63
P942,Sandy,544,1019,160,30,1563,47
P943,Sandy,427,1952,330,26,2379,75
P944,Clayey,465,1814,349,31,2279,66
P945,Clayey,562,1823,253,29,2385,71
P946,Clayey,628,1412,217,30,2040,52
P947,Loamy,660,1727,244,34,2387,68
P948,Clayey,848,1487,305,32,2335,70
P949,Loamy,823,1412,214,32,2235,62
P950,Sandy,859,1059,198,27,1918,59
P951,Clayey,1075,1789,324,31,2864,77
P952,Loamy,700,1765,201,25,2465,61
P953,Loamy,702,1165,251,25,1867,66
P954,Clayey,686,1343,331,31,2029,61
P955,Sandy,794,1448,337,34,2242,65
P956,Sandy,409,1613,206,33,2022,46
P957,Sandy,1029,1839,196,31,2868,68
P958,Loamy,669,1952,308,34,2621,71
P959,Loamy,991,1374,323,29,2365,71
P960,Loamy,1004,1932,175,32,2936,75
P961,Loamy,760,1812,263,26,2572,73
P962,Sandy,656,1469,154,33,2125,66
P963,Clayey,532,1068,233,30,1600,46
P964,Loamy,675,1985,201,33,2660,75
P965,Loamy,1082,2083,254,26,3165,96
P966,Sandy,912,1723,203,27,2635,76
P967,Clayey,712,1925,310,32,2637,72
P968,Clayey,975,1046,327,25,2021,61
P969,Sandy,683,930,315,34,1613,54
P970,Sandy,520,1152,304,31,1672,57
P971,Clayey,506,995,164,31,1501,50
P972,Loamy,1086,1729,210,25,2815,74
P973,Clayey,603,1821,271,33,2424,64
P974,Sandy,564,1444,170,32,2008,47
P975,Loamy,704,1026,195,28,1730,48
P976,Loamy,896,1500,346,34,2396,74
P977,Sandy,1031,1064,283,29,2095,62
P978,Sandy,955,2195,187,26,3150,78
P979,Sandy,555,1445,211,33,2000,57
P980,Clayey,766,1010,235,30,1776,56
P981,Clayey,1019,1742,339,27,2761,84
P982,Loamy,650,2187,227,31,2837,69
P983,Sandy,733,1256,195,33,1989,60
P984,Loamy,1041,1524,290,27,2565,76
P985,Loamy,910,2049,152,26,2959,88
P986,Loamy,692,1781,155,31,2473,63
P987,Loamy,419,1954,242,31,2373,50
P988,Sandy,681,1387,157,28,2068,44
P989,Loamy,400,1275,321,33,1675,54
P990,Sandy,518,1785,257,32,2303,68
P991,Sandy,434,2100,310,25,2534,68
P992,Clayey,597,955,224,25,1552,60
P993,Sandy,884,2041,226,29,2925,86
P994,Clayey,458,989,199,30,1447,43
P995,Sandy,560,1780,160,27,2340,63
P996,Sandy,1090,1345,244,33,2435,73
P997,Sandy,605,840,305,34,1445,56
P998,Clayey,411,1106,219,30,1517,47
P999,Clayey,889,1742,318,28,2631,78
P1000,Loamy,675,1137,165,31,1812,53
